1.389: [GC [PSYoungGen: 15872K->1812K(18496K)] 15872K->1812K(60800K), 0.0127010 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.682: [GC [PSYoungGen: 17684K->1796K(18496K)] 17684K->1796K(60800K), 0.0036970 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
1.768: [GC [PSYoungGen: 17668K->1796K(18496K)] 17668K->1796K(60800K), 0.0036420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.811: [GC [PSYoungGen: 17668K->1780K(34368K)] 17668K->1780K(76672K), 0.0037090 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
1.903: [GC [PSYoungGen: 33524K->1828K(34368K)] 33524K->1828K(76672K), 0.0040470 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2.002: [GC [PSYoungGen: 33572K->1780K(65344K)] 33572K->1780K(107648K), 0.0052690 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.172: [GC [PSYoungGen: 65268K->32K(65344K)] 65268K->1770K(107648K), 0.0062830 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.322: [GC [PSYoungGen: 63520K->96K(129024K)] 65258K->1834K(171328K), 0.0004180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.666: [GC [PSYoungGen: 126880K->96K(129216K)] 128618K->1834K(171520K), 0.0005900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.953: [GC [PSYoungGen: 126880K->32K(167936K)] 128618K->1770K(210240K), 0.0005110 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.359: [GC [PSYoungGen: 165408K->32K(165440K)] 167146K->1770K(207744K), 0.0006160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.733: [GC [PSYoungGen: 165408K->96K(167936K)] 167146K->1834K(210240K), 0.0004050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.106: [GC [PSYoungGen: 165344K->64K(157824K)] 167082K->1802K(200128K), 0.0004980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.462: [GC [PSYoungGen: 157824K->32K(150720K)] 159562K->1770K(193024K), 0.0011670 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
4.801: [GC [PSYoungGen: 150688K->64K(146496K)] 152426K->1802K(188800K), 0.0005880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.125: [GC [PSYoungGen: 143936K->64K(137472K)] 145674K->1802K(179776K), 0.0009940 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
5.435: [GC [PSYoungGen: 137472K->32K(133696K)] 139210K->1770K(176000K), 0.0006950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.730: [GC [PSYoungGen: 131296K->32K(125504K)] 133034K->1770K(167808K), 0.0009390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.012: [GC [PSYoungGen: 125472K->32K(122240K)] 127210K->1770K(164544K), 0.0011350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
