1.406: [GC [PSYoungGen: 15872K->1780K(18496K)] 15872K->1780K(60800K), 0.0098310 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
1.525: [GC [PSYoungGen: 17652K->1748K(18496K)] 17652K->1748K(60800K), 0.0060620 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.615: [GC [PSYoungGen: 17620K->1780K(18496K)] 17620K->1780K(60800K), 0.0046300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.704: [GC [PSYoungGen: 17652K->1764K(34368K)] 17652K->1764K(76672K), 0.0045500 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.875: [GC [PSYoungGen: 33508K->1796K(34368K)] 33508K->1796K(76672K), 0.0046170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.049: [GC [PSYoungGen: 33540K->1812K(65344K)] 33540K->1812K(107648K), 0.0044220 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.385: [GC [PSYoungGen: 65300K->32K(65344K)] 65300K->1769K(107648K), 0.0048910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.725: [GC [PSYoungGen: 63520K->32K(129024K)] 65257K->1769K(171328K), 0.0005700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.399: [GC [PSYoungGen: 126816K->32K(129216K)] 128553K->1769K(171520K), 0.0006550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.090: [GC [PSYoungGen: 126816K->32K(167936K)] 128553K->1769K(210240K), 0.0009380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.018: [GC [PSYoungGen: 165408K->32K(157952K)] 167145K->1769K(200256K), 0.0007370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.855: [GC [PSYoungGen: 157920K->32K(150784K)] 159657K->1769K(193088K), 0.0006580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.655: [GC [PSYoungGen: 150752K->32K(146624K)] 152489K->1769K(188928K), 0.0006170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.417: [GC [PSYoungGen: 143968K->32K(137536K)] 145705K->1769K(179840K), 0.0013990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.148: [GC [PSYoungGen: 137504K->32K(133888K)] 139241K->1769K(176192K), 0.0007740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.843: [GC [PSYoungGen: 131360K->32K(125568K)] 133097K->1769K(167872K), 0.0013280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.508: [GC [PSYoungGen: 125536K->32K(122368K)] 127273K->1769K(164672K), 0.0025430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.144: [GC [PSYoungGen: 119968K->32K(114752K)] 121705K->1769K(157056K), 0.0015860 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.752: [GC [PSYoungGen: 114720K->32K(111936K)] 116457K->1769K(154240K), 0.0006880 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.332: [GC [PSYoungGen: 109728K->32K(105024K)] 111465K->1769K(147328K), 0.0017670 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.889: [GC [PSYoungGen: 104992K->32K(102464K)] 106729K->1769K(144768K), 0.0006930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.421: [GC [PSYoungGen: 100448K->32K(96192K)] 102185K->1769K(138496K), 0.0038970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.933: [GC [PSYoungGen: 96160K->32K(93888K)] 97897K->1769K(136192K), 0.0009740 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
13.420: [GC [PSYoungGen: 92064K->32K(88192K)] 93801K->1769K(130496K), 0.0012810 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.887: [GC [PSYoungGen: 88160K->32K(86080K)] 89897K->1769K(128384K), 0.0006060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.335: [GC [PSYoungGen: 84448K->32K(80960K)] 86185K->1769K(123264K), 0.0019440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
